N, RustFFT, FFTW
2, 0.00459908, 0.013997201
3, 0.0065986803, 0.01409718
4, 0.008796481, 0.014794082
5, 0.021989005, 0.020989506
6, 0.010797841, 0.02279544
7, 0.030790763, 0.054583624
8, 0.020783374, 0.027977617
9, 0.07464029, 0.043165468
10, 0.08591408, 0.045954045
11, 0.32857144, 0.10989011
12, 0.08872902, 0.0647482
13, 0.38051948, 0.10519481
14, 0.14405595, 0.11188811
15, 0.16041979, 0.089955024
16, 0.079872206, 0.076677315
17, 0.41765705, 0.22241087
18, 0.17086332, 0.13669065
19, 0.64705884, 0.2504744
20, 0.18363273, 0.14770459
21, 0.20545073, 0.21174005
22, 1.0241759, 0.25494507
23, 2.3770115, 0.33563218
24, 0.17985612, 0.12230216
25, 0.2817955, 0.15461347
26, 0.83116883, 0.20259741
27, 0.49865228, 0.17250673
28, 0.21787709, 0.20391062
29, 0.9130435, 0.35652173
30, 0.24251497, 0.17065868
31, 0.94427246, 0.3993808
32, 0.22044729, 0.20127796
33, 1.5065789, 0.40789473
34, 1.1423728, 0.50508475
35, 0.52097905, 0.34965035
36, 0.28057554, 0.2086331
37, 1.099631, 0.5498155
38, 1.4772727, 0.45075756
39, 1.3424125, 0.4241245
40, 0.55378485, 0.29482073
41, 1.3606558, 0.6803279
42, 0.33472803, 0.34309623
43, 1.3862661, 0.72103006
44, 1.6798246, 0.3991228
45, 0.8116592, 0.30493274
46, 4.43578, 0.60091746
47, 9.408451, 0.84976524
48, 0.30622008, 0.27272728
49, 0.52682924, 0.56585366
50, 0.91542286, 0.37313432
51, 1.4568528, 0.5888325
52, 1.6528498, 0.41968912
53, 3.989418, 1.0634921
54, 0.82258064, 0.38709676
55, 2.5714285, 0.74725276
56, 0.5810056, 0.5698324
57, 2.4545455, 0.90340906
58, 2.4855492, 0.8612717
59, 5.3411765, 1.5941176
60, 0.89221555, 0.4311377
61, 3.2256098, 1.695122
62, 2.2777777, 0.9691358
63, 1.144654, 0.591195
64, 0.42675158, 0.3821656
65, 2.1038961, 0.6233766
66, 2.7697368, 0.8486842
67, 6.72, 1.6733333
68, 1.831081, 0.7702703
69, 6.6068964, 0.91034484
70, 1.2447553, 0.6363636
71, 3.6382978, 1.8652482
72, 1.1294965, 0.46043167
73, 3.8321168, 1.9635036
74, 2.4926472, 1.2647059
75, 1.2910448, 0.8507463
76, 3.1363637, 0.8863636
77, 3.6, 1.1615385
78, 2.868217, 0.90697676
79, 6.968504, 2.425197
80, 1.2539682, 0.5714286
81, 1.7903225, 0.66935486
82, 3.1311476, 1.6147541
83, 8.289256, 2.6611571
84, 1.275, 0.90833336
85, 2.720339, 1.3813559
86, 3.6324787, 1.6410257
87, 3.3130436, 1.3130435
88, 3.6666667, 1.1578947
89, 9.079646, 3.0442479
90, 1.3392857, 0.6785714
91, 3.5, 1.3545455
92, 9.944954, 1.5688074
93, 4, 1.462963
94, 22.13084, 2
95, 3.6603773, 1.1981132
96, 0.96190476, 0.61904764
97, 3.3557692, 2.75
98, 2, 1.3300971
99, 5.1960783, 1.4803921
100, 2.5346534, 0.7920792
101, 5.89, 3.12
102, 2.6565657, 1.1919192
103, 7.0816326, 4
104, 3.1340206, 0.9381443
105, 1.8229166, 1.0208334
106, 8.6, 2.3473685
107, 18.80851, 4.2978725
108, 2.032258, 0.827957
109, 5.923913, 3.402174
110, 4.802198, 1.1758242
111, 3.7472527, 1.978022
112, 1.5888889, 1.1111112
113, 5.764045, 4.752809
114, 4.215909, 1.3977273
115, 11.333333, 1.5977012
116, 4.275862, 1.7241379
117, 4.2674417, 1.1860465
118, 11.411765, 3.317647
119, 3.447059, 1.6588235
120, 1.7619047, 0.89285713
121, 7.86747, 1.7228916
122, 7.1829267, 3.7804878
123, 5.280488, 2.317073
124, 4.6790123, 1.925926
125, 2.419753, 1.1851852
