N, RustFFT, FFTW
2, 0.05118976, 0.01519696
3, 0.012897421, 0.016496701
4, 0.013594562, 0.019192323
5, 0.028485756, 0.026986506
6, 0.020995801, 0.029994002
7, 0.053883836, 0.061581526
8, 0.030375699, 0.036770582
9, 0.11780576, 0.055755395
10, 0.0989011, 0.056943055
11, 0.37362638, 0.103296705
12, 0.11630695, 0.06354916
13, 0.42207792, 0.10519481
14, 0.14685315, 0.10769231
15, 0.1694153, 0.089955024
16, 0.092651755, 0.08466454
17, 0.46689305, 0.19524617
18, 0.2086331, 0.11510792
19, 0.60151803, 0.16888046
20, 0.16566867, 0.10778443
21, 0.28092244, 0.21383648
22, 1.0373627, 0.25714287
23, 2.9908047, 0.31954023
24, 0.24460432, 0.16786571
25, 0.34912717, 0.19201995
26, 1.2, 0.27272728
27, 0.65768194, 0.24528302
28, 0.2877095, 0.26256984
29, 1.057971, 0.35362318
30, 0.26347306, 0.1736527
31, 1.133127, 0.3993808
32, 0.31948882, 0.16613418
33, 1.4342105, 0.40131578
34, 1.2237288, 0.39322034
35, 0.44755244, 0.35664335
36, 0.37769786, 0.21582733
37, 1.1660516, 0.6273063
38, 1.6022727, 0.45454547
39, 1.459144, 0.3463035
40, 0.33864543, 0.22709164
41, 1.3278688, 0.65983605
42, 0.40585774, 0.44769874
43, 1.527897, 0.7253219
44, 1.6842105, 0.43421054
45, 1.1883408, 0.40358743
46, 5.215596, 0.79816514
47, 9.821596, 0.84976524
48, 0.4449761, 0.33492824
49, 0.69756097, 0.5463415
50, 0.91542286, 0.3432836
51, 1.6852791, 0.66497463
52, 1.9015543, 0.41968912
53, 4.5396824, 1.1322751
54, 1.048387, 0.4408602
55, 2.1758242, 0.56593406
56, 0.61452514, 0.5642458
57, 2.7329545, 0.90340906
58, 2.7398844, 0.849711
59, 6.382353, 1.6705883
60, 0.98203593, 0.41916168
61, 3.5365853, 1.7439024
62, 2.4567902, 0.9444444
63, 1.345912, 0.5974843
64, 0.37579617, 0.46496814
65, 2.5, 0.7012987
66, 2.9473684, 0.84210527
67, 6.9066668, 1.7133334
68, 2.0472972, 0.7567568
69, 7.510345, 0.8896552
70, 1.7412587, 0.8181818
71, 4.5531917, 1.9148936
72, 1.3165468, 0.46043167
73, 4.4379563, 1.9635036
74, 3.1323528, 1.2647059
75, 1.7686567, 0.5671642
76, 2.969697, 0.8939394
77, 3.1692307, 0.9153846
78, 2.8837209, 0.6976744
79, 6.897638, 2.425197
80, 1.2698413, 0.6507937
81, 2.0725806, 0.66935486
82, 3.3934426, 1.5163934
83, 7.9917355, 2.7272727
84, 1.5, 0.85
85, 2.8135593, 1.0254238
86, 4.1538463, 1.6324786
87, 3.6782608, 1.2956522
88, 3.7017543, 1.1403508
89, 9.185841, 3.017699
90, 1.4375, 0.66964287
91, 4.390909, 1.290909
92, 10.256881, 1.5779817
93, 4.148148, 1.4537038
94, 21.345795, 1.9065421
95, 4.6132073, 1.6226416
96, 1.2285714, 0.6
97, 4.2596154, 2.7692308
98, 1.9611651, 1.3203883
99, 5.3627453, 1.4215686
100, 2.5940595, 0.7326733
101, 6.06, 3.14
102, 3.090909, 1.3535353
103, 8.122449, 4.0102043
104, 3.6082475, 0.92783505
105, 2.0729167, 1.03125
106, 10, 3.2736843
107, 24.574469, 4.4148936
108, 2.3333333, 0.8064516
109, 6.6630435, 3.3913043
110, 4.6813188, 1.1868132
111, 4.3076925, 1.9450549
112, 1.8555555, 0.9777778
113, 5.6179776, 4.775281
114, 5.431818, 1.8863636
115, 15.689655, 2.3793104
116, 7.183908, 1.7241379
117, 4.883721, 1.1976744
118, 12.258823, 3.1764705
119, 3.964706, 1.7058823
120, 1.9047619, 0.86904764
121, 7.4096384, 1.686747
122, 6.9268293, 3.792683
123, 4.8414636, 3.109756
124, 5.012346, 1.9012346
125, 2.617284, 1.4074074
126, 2.475, 1.2875
127, 6.936709, 5.4177217
128, 0.9746835, 0.8607595
129, 5.423077, 2.5
130, 5.2207794, 1.3246753
131, 12.597403, 6.4155846
132, 5.368421, 1.3947369
133, 5.6578946, 1.9210526
134, 12.533334, 3.6133332
135, 3.2266667, 1.1733333
136, 4.0675673, 1.5945946
137, 10.493151, 6.739726
138, 13.150685, 1.8356165
139, 28.569445, 6.513889
140, 2.6527777, 1.3472222
141, 30.070423, 3.1267605
142, 8.704226, 4.028169
143, 8.657143, 1.9571428
144, 2.4857142, 1.0857143
145, 6.304348, 2.2753623
146, 10, 4.289855
147, 3.115942, 1.9130435
148, 6.7352943, 2.5588236
149, 14.176471, 7.4411764
150, 2.8656716, 1.3134328
151, 9.776119, 5.044776
152, 7.121212, 2.530303
153, 6.8333335, 2.621212
154, 7.769231, 2.8923078
155, 7.123077, 2.5384614
156, 7.523077, 1.7230769
157, 14.765625, 7.203125
158, 14.5, 5.1875
159, 17.349207, 3.5873015
160, 2.2222223, 1.1746032
161, 16.333334, 2.5238094
162, 3.935484, 1.516129
163, 12.629032, 5.564516
164, 6.360656, 3.0491803
165, 7.196721, 1.9836066
166, 16.967213, 5.655738
167, 40.383335, 8.666667
168, 2.75, 1.8
169, 12.266666, 2.8166666
170, 7.3050847, 2.457627
171, 9.406779, 3.2711864
172, 7.6949153, 3.322034
173, 17.155172, 8.775862
174, 7.3448277, 2.6724138
175, 4.275862, 2
176, 7.140351, 1.9824561
177, 18.666666, 5.491228
178, 20.017544, 6.4210525
179, 36.375, 8.678572
180, 4.160714, 1.5357143
181, 10.285714, 5.857143
182, 7.418182, 2.4
183, 10.454545, 5.672727
